candidate,reject_frac,flat_mean,candidate_mean,delta_mean_flat_minus_candidate,relative_reduction_pct,improved_datasets,worsened_datasets,wilcoxon_p_greater,wilcoxon_p_two_sided,decision_one_sided,decision_two_sided
threshold_cumul,0.1,0.031737,0.024424,0.007314,23.045656489271195,22,16,0.007269,0.014539,GO,GO
threshold_cumul,0.2,0.029521,0.023755,0.005766,19.53185867687409,23,14,0.002817,0.005634,GO,GO
threshold_cumul,0.3,0.0276,0.023344,0.004256,15.420289855072463,18,17,0.035796,0.071592,GO,STOP
threshold_cumul_margin,0.1,0.031737,0.025068,0.006669,21.013328291899043,20,18,0.029209,0.058418,GO,STOP
threshold_cumul_margin,0.2,0.029521,0.024483,0.005038,17.065817553605907,21,16,0.032296,0.064592,GO,STOP
threshold_cumul_margin,0.3,0.0276,0.024021,0.003579,12.967391304347828,14,20,0.239005,0.478011,STOP,STOP
threshold_cumul_conf,0.1,0.031737,0.024697,0.00704,22.18231086744179,20,18,0.018712,0.037424,GO,GO
threshold_cumul_conf,0.2,0.029521,0.02415,0.005371,18.19382812235358,20,17,0.026735,0.053471,GO,STOP
threshold_cumul_conf,0.3,0.0276,0.023613,0.003987,14.445652173913043,16,20,0.157334,0.314667,STOP,STOP
rankcode_cumul,0.1,0.031737,0.027842,0.003896,12.275892491413808,22,16,0.072492,0.144984,STOP,STOP
rankcode_cumul,0.2,0.029521,0.027275,0.002246,7.608143355577386,18,18,0.193772,0.387543,STOP,STOP
rankcode_cumul,0.3,0.0276,0.026967,0.000633,2.2934782608695654,14,20,0.611064,0.777873,STOP,STOP
rankcode_cumul_margin,0.1,0.031737,0.028995,0.002743,8.642908907584209,18,19,0.306642,0.613285,STOP,STOP
rankcode_cumul_margin,0.2,0.029521,0.028683,0.000839,2.8420446461840725,16,21,0.545043,0.909914,STOP,STOP
rankcode_cumul_margin,0.3,0.0276,0.028548,-0.000948,-3.4347826086956523,12,22,0.84138,0.31724,STOP,STOP
rankcode_cumul_conf,0.1,0.031737,0.029092,0.002645,8.334121057440843,18,18,0.249662,0.499323,STOP,STOP
rankcode_cumul_conf,0.2,0.029521,0.029171,0.00035,1.1855966938789337,18,19,0.460942,0.921884,STOP,STOP
rankcode_cumul_conf,0.3,0.0276,0.029272,-0.001672,-6.057971014492754,15,19,0.750261,0.499477,STOP,STOP
