strategy,budget,QWK,SMR,ExtremeRecall
boundary_anchors,128,0.7577166191711976,0.019548207493847922,0.6672988967181475
boundary_only,128,0.7566993512892793,0.0231326581320896,0.7088349182305318
full_rankcode,128,0.7596810438899463,0.02026579638316822,0.7116581793498518
random,128,0.75779064257103,0.019920871309038624,0.657516038674292
boundary_anchors,256,0.7734601781645641,0.0196942416671927,0.7103679931423311
boundary_only,256,0.7670452759476667,0.021752295597879202,0.7076269121448361
full_rankcode,256,0.775722811949446,0.019833524997075462,0.7478864204208086
random,256,0.7706388210019105,0.018636608572986,0.67684049925399
boundary_anchors,512,0.7861881173654091,0.018103823896549662,0.7190272210791465
boundary_only,512,0.778843735800102,0.0200092936803379,0.7191935878649813
full_rankcode,512,0.7849765509732491,0.01861831261035902,0.7472735130138004
random,512,0.7838650703544744,0.017305315368190542,0.6984972981640766
boundary_anchors,1024,0.7894436341026075,0.017433492463834178,0.731327161856941
boundary_only,1024,0.7858292587538215,0.018854520377146078,0.735745159640659
full_rankcode,1024,0.7928796664332498,0.01763467555717362,0.7483872318596141
random,1024,0.7910201604526066,0.01685239787794782,0.7082289120933524
boundary_anchors,2048,0.7970284316204775,0.016695936212211465,0.7330918904390548
boundary_only,2048,0.7927510320544681,0.017905828658903503,0.738575993825187
full_rankcode,2048,0.7974499254553605,0.016711536689433138,0.7497101161844586
random,2048,0.7961981036078462,0.016441891217559144,0.7184927236954468
